Date,Total,Month,Day,Year
Jan-59,75.7,1,1,1959
Feb-59,79,2,1,1959
Mar-59,119,3,1,1959
Apr-59,127.9,4,1,1959
May-59,120.8,5,1,1959
Jun-59,120.9,6,1,1959
Jul-59,112.3,7,1,1959
Aug-59,106.4,8,1,1959
Sep-59,102.5,9,1,1959
Oct-59,94.6,10,1,1959
Nov-59,75.8,11,1,1959
Dec-59,73.5,12,1,1959
Jan-60,62.6,1,1,1960
Feb-60,68.1,2,1,1960
Mar-60,89,3,1,1960
Apr-60,101.1,4,1,1960
May-60,103.4,5,1,1960
Jun-60,94.8,6,1,1960
Jul-60,86.3,7,1,1960
Aug-60,93.7,8,1,1960
Sep-60,84.9,9,1,1960
Oct-60,81.6,10,1,1960
Nov-60,73.9,11,1,1960
Dec-60,58.7,12,1,1960
Jan-61,59.7,1,1,1961
Feb-61,58.8,2,1,1961
Mar-61,92.7,3,1,1961
Apr-61,94,4,1,1961
May-61,105.3,5,1,1961
Jun-61,104.5,6,1,1961
Jul-61,92.8,7,1,1961
Aug-61,108.6,8,1,1961
Sep-61,90.4,9,1,1961
Oct-61,98.3,10,1,1961
Nov-61,87.4,11,1,1961
Dec-61,71.7,12,1,1961
Jan-62,73.2,1,1,1962
Feb-62,74.6,2,1,1962
Mar-62,101.4,3,1,1962
Apr-62,120.8,4,1,1962
May-62,117.5,5,1,1962
Jun-62,107,6,1,1962
Jul-62,105.8,7,1,1962
Aug-62,111,8,1,1962
Sep-62,95.2,9,1,1962
Oct-62,107.6,10,1,1962
Nov-62,94.5,11,1,1962
Dec-62,78,12,1,1962
Jan-63,84.4,1,1,1963
Feb-63,78.7,2,1,1963
Mar-63,108.8,3,1,1963
Apr-63,131.5,4,1,1963
May-63,138.7,5,1,1963
Jun-63,118.7,6,1,1963
Jul-63,121.9,7,1,1963
Aug-63,115,8,1,1963
Sep-63,114.7,9,1,1963
Oct-63,127.8,10,1,1963
Nov-63,98.6,11,1,1963
Dec-63,96.1,12,1,1963
Jan-64,86.4,1,1,1964
Feb-64,90.9,2,1,1964
Mar-64,119.2,3,1,1964
Apr-64,128.8,4,1,1964
May-64,122.9,5,1,1964
Jun-64,124.8,6,1,1964
Jul-64,119.5,7,1,1964
Aug-64,108.4,8,1,1964
Sep-64,107.6,9,1,1964
Oct-64,106.6,10,1,1964
Nov-64,90.6,11,1,1964
Dec-64,80,12,1,1964
Jan-65,74.3,1,1,1965
Feb-65,75.4,2,1,1965
Mar-65,115.7,3,1,1965
Apr-65,120.6,4,1,1965
May-65,115,5,1,1965
Jun-65,122,6,1,1965
Jul-65,108.6,7,1,1965
Aug-65,108.9,8,1,1965
Sep-65,104.2,9,1,1965
Oct-65,105.7,10,1,1965
Nov-65,99.3,11,1,1965
Dec-65,90.1,12,1,1965
Jan-66,76,1,1,1966
Feb-66,73.1,2,1,1966
Mar-66,117.8,3,1,1966
Apr-66,114.1,4,1,1966
May-66,107,5,1,1966
Jun-66,95,6,1,1966
Jul-66,77.4,7,1,1966
Aug-66,79.3,8,1,1966
Sep-66,65.9,9,1,1966
Oct-66,61.3,10,1,1966
Nov-66,56.1,11,1,1966
Dec-66,48.9,12,1,1966
Jan-67,58.5,1,1,1967
Feb-67,57,2,1,1967
Mar-67,91.4,3,1,1967
Apr-67,99.5,4,1,1967
May-67,111.2,5,1,1967
Jun-67,115.5,6,1,1967
Jul-67,97.1,7,1,1967
Aug-67,110.6,8,1,1967
Sep-67,103.4,9,1,1967
Oct-67,111.8,10,1,1967
Nov-67,99.8,11,1,1967
Dec-67,85.2,12,1,1967
Jan-68,74.4,1,1,1968
Feb-68,90.2,2,1,1968
Mar-68,117.5,3,1,1968
Apr-68,134.8,4,1,1968
May-68,132.8,5,1,1968
Jun-68,116.2,6,1,1968
Jul-68,120.1,7,1,1968
Aug-68,115.7,8,1,1968
Sep-68,118.2,9,1,1968
Oct-68,129.9,10,1,1968
Nov-68,106.1,11,1,1968
Dec-68,97.3,12,1,1968
Jan-69,94.1,1,1,1969
Feb-69,96.2,2,1,1969
Mar-69,121.7,3,1,1969
Apr-69,149.3,4,1,1969
May-69,128.6,5,1,1969
Jun-69,125.5,6,1,1969
Jul-69,114,7,1,1969
Aug-69,106.1,8,1,1969
Sep-69,106.8,9,1,1969
Oct-69,111.1,10,1,1969
Nov-69,84.4,11,1,1969
Dec-69,85.9,12,1,1969
Jan-70,67.5,1,1,1970
Feb-70,72.9,2,1,1970
Mar-70,99.5,3,1,1970
Apr-70,125.5,4,1,1970
May-70,122,5,1,1970
Jun-70,129,6,1,1970
Jul-70,118.3,7,1,1970
Aug-70,113.7,8,1,1970
Sep-70,121,9,1,1970
Oct-70,136.3,10,1,1970
Nov-70,113.1,11,1,1970
Dec-70,132.6,12,1,1970
Jan-71,98.8,1,1,1971
Feb-71,104.1,2,1,1971
Mar-71,157.6,3,1,1971
Apr-71,175.3,4,1,1971
May-71,180.9,5,1,1971
Jun-71,186,6,1,1971
Jul-71,177.6,7,1,1971
Aug-71,174.5,8,1,1971
Sep-71,168.6,9,1,1971
Oct-71,169,10,1,1971
Nov-71,165.1,11,1,1971
Dec-71,167.1,12,1,1971
Jan-72,137.3,1,1,1972
Feb-72,148.1,2,1,1972
Mar-72,191.1,3,1,1972
Apr-72,191.8,4,1,1972
May-72,206.9,5,1,1972
Jun-72,214.6,6,1,1972
Jul-72,179.6,7,1,1972
Aug-72,206.4,8,1,1972
Sep-72,190.6,9,1,1972
Oct-72,201.1,10,1,1972
Nov-72,176.8,11,1,1972
Dec-72,174.6,12,1,1972
Jan-73,152.1,1,1,1973
Feb-73,145.7,2,1,1973
Mar-73,184.4,3,1,1973
Apr-73,185.4,4,1,1973
May-73,191.7,5,1,1973
Jun-73,193.7,6,1,1973
Jul-73,157.3,7,1,1973
Aug-73,162.9,8,1,1973
Sep-73,125.2,9,1,1973
Oct-73,122.9,10,1,1973
Nov-73,107.2,11,1,1973
Dec-73,91.1,12,1,1973
Jan-74,87.5,1,1,1974
Feb-74,86.7,2,1,1974
Mar-74,120.1,3,1,1974
Apr-74,130.9,4,1,1974
May-74,116.5,5,1,1974
Jun-74,102.2,6,1,1974
Jul-74,95.5,7,1,1974
Aug-74,81.7,8,1,1974
Sep-74,66.8,9,1,1974
Oct-74,71.1,10,1,1974
